11.10930;-.69595449E+03;-.69595449E+03;-.141720E-04
11.25833;-.69704268E+03;-.69704268E+03;-.404933E-04
11.40389;-.69798970E+03;-.69798970E+03;-.270983E-04
11.55548;-.69874945E+03;-.69874945E+03;-.288718E-04
11.7091;-.69917730E+03;-.69917730E+03;-.480260E-04
11.8573;-.69938782E+03;-.69938782E+03;-.263896E-04
12.00138;-.69941079E+03;-.69941079E+03;-.214466E-04
12.15216;-.69926148E+03;-.69926148E+03;-.175164E-04
12.30156;-.69894815E+03;-.69894815E+03;-.427500E-04 
12.70;-.69761391E+03;-.69761391E+03;-.927339E-05
12.90;-.69675513E+03;-.69675513E+03;-.206830E-04

