Name,number of time being infected
NED,2
DAENERYS,2
SAM,2
LITTLEFINGER,2
VARYS,2
CATELYN,2
ROBB,2
SANSA,2
TYWIN,2
JAIME,2
LORAS,2
MIRRI_MAZ_DUUR,2
BENJEN,2
MORD,2
HOUND,2
MARILLION,2
VARDIS_EGEN,2
JON_ARRYN,2
DAREON,2
OTHELL_YARWYCK,2
MOUNTAIN,2
TOMMEN,2
ROBERT,1
JORAH,1
JON,1
DROGO,1
ARYA,1
BRONN,1
TYRION,1
CERSEI,1
SHAE,1
JOFFREY,1
PYCELLE,1
VISERYS,1
SEPTA_MORDANE,1
JEOR,1
THEON,1
BRAN,1
MAESTER_LUWIN,1
RENLY,1
SYRIO_FOREL,1
JORY_CASSEL,1
PYP,1
ROS,1
GRENN,1
WALDER,1
DOREAH,1
IRRI,1
GREATJON_UMBER,1
LYSA,1
RAKHARO,1
ROBIN,1
OSHA,1
RODRIK,1
QOTHO,1
MAESTER_AEMON,1
BARRISTAN,1
ILLYRIO,1
SHAGGA,1
YOREN,1
ALLISER_THORNE,1
LANCEL,1
KEVAN,1
RHAEGO,1
JANOS,1
GENDRY,1
MERYN_TRANT,1
HODOR,1
STANNIS,1
MAGO,1
TOBHO_MOTT,1
RAST,1
OLD_NAN,1
MHAEGEN,1
AERYS,1
BAELOR,1
STABLE_BOY,1
HUGH_OF_THE_VALE,1
OTHOR,1
TOMARD,1
GARED,1
ROYCE,1
JONOS_BRACKEN,1
MASHA_HEDDLE,1
RICKARD_STARK,1
ILYN_PAYNE,1
WILL,1
LYANNA,1
RYGER_RIVERS,1
STEVRON_FREY,1
WAYMAR_ROYCE,1
ADDAM_MARBRAND,1
LEO_LEFFORD,1
ASSASSIN,1
BALON,1
BERIC,1
BRANDON_STARK,1
HOSTER,1
JHIQUI,1
MYRCELLA,1
BORCAS,1
LUKE,1
GALBART_GLOVER,1
RICKARD_KARSTARK,1
HIGH_SEPTON,1
TYSHA,1
JAREMY_RYKKER,1
JOANNA,1
LITTLE_BIRD,1
JOYEUSE,1
MELESSA,1
STEFFON,1
VARLY,1
RANDYLL,1
WINE_MERCHANT,0
RICKON,0
HOT_PIE,0
LOMMY_GREENHANDS,0
MYCAH,0
RHAEGAR,0
COHOLLO,0
AEGON,0
BOWEN_MARSH,0
IROGENIA,0
MACE,0
ROOSE_BOLTON,0
