Name,states
NED,1
DAENERYS,1
JORAH,1
JON,1
SAM,1
LITTLEFINGER,1
VARYS,1
DROGO,1
BRONN,1
TYRION,1
SHAE,1
JOFFREY,1
PYCELLE,1
VISERYS,1
SEPTA_MORDANE,1
LORAS,1
RENLY,1
MIRRI_MAZ_DUUR,1
SYRIO_FOREL,1
PYP,1
ROS,1
GRENN,1
WALDER,1
BENJEN,1
IRRI,1
MORD,1
LYSA,1
RAKHARO,1
ROBIN,1
OSHA,1
RODRIK,1
QOTHO,1
BARRISTAN,1
SHAGGA,1
YOREN,1
ALLISER_THORNE,1
WINE_MERCHANT,1
HOUND,1
RICKON,1
KEVAN,1
VARDIS_EGEN,1
RHAEGO,1
GENDRY,1
HOT_PIE,1
HODOR,1
STANNIS,1
MAGO,1
TOBHO_MOTT,1
OLD_NAN,1
MHAEGEN,1
AERYS,1
BAELOR,1
STABLE_BOY,1
OTHELL_YARWYCK,1
MOUNTAIN,1
TOMARD,1
GARED,1
ROYCE,1
JONOS_BRACKEN,1
MASHA_HEDDLE,1
RICKARD_STARK,1
WILL,1
RYGER_RIVERS,1
STEVRON_FREY,1
ADDAM_MARBRAND,1
LEO_LEFFORD,1
ASSASSIN,1
BALON,1
BERIC,1
BRANDON_STARK,1
HOSTER,1
COHOLLO,1
JHIQUI,1
MYRCELLA,1
AEGON,1
BORCAS,1
BOWEN_MARSH,1
LUKE,1
IROGENIA,1
GALBART_GLOVER,1
RICKARD_KARSTARK,1
HIGH_SEPTON,1
TYSHA,1
TOMMEN,1
LITTLE_BIRD,1
JOYEUSE,1
MELESSA,1
ROOSE_BOLTON,1
STEFFON,1
VARLY,1
