Name,states
ROBERT,1
JON,1
DROGO,1
ARYA,1
BRONN,1
CERSEI,1
VISERYS,1
JAIME,1
MIRRI_MAZ_DUUR,1
JORY_CASSEL,1
PYP,1
BENJEN,1
MORD,1
LYSA,1
OSHA,1
BARRISTAN,1
ILLYRIO,1
YOREN,1
WINE_MERCHANT,1
RICKON,1
MARILLION,1
KEVAN,1
HOT_PIE,1
LOMMY_GREENHANDS,1
MERYN_TRANT,1
HODOR,1
STANNIS,1
RAST,1
MHAEGEN,1
AERYS,1
BAELOR,1
DAREON,1
STABLE_BOY,1
HUGH_OF_THE_VALE,1
TOMARD,1
GARED,1
ILYN_PAYNE,1
LYANNA,1
STEVRON_FREY,1
ADDAM_MARBRAND,1
LEO_LEFFORD,1
ASSASSIN,1
BALON,1
BERIC,1
BRANDON_STARK,1
COHOLLO,1
JHIQUI,1
AEGON,1
BOWEN_MARSH,1
TOMMEN,1
LITTLE_BIRD,1
