Name,number of time being infected
NED,2
DROGO,2
CATELYN,2
ROBB,2
TYRION,2
CERSEI,2
JOFFREY,2
PYCELLE,2
TYWIN,2
MAESTER_LUWIN,2
RENLY,2
PYP,2
BENJEN,2
IRRI,2
GREATJON_UMBER,2
LYSA,2
ROBIN,2
OSHA,2
QOTHO,2
ALLISER_THORNE,2
HOUND,2
KEVAN,2
VARDIS_EGEN,2
JANOS,2
MERYN_TRANT,2
JON_ARRYN,2
RAST,2
HUGH_OF_THE_VALE,2
OTHOR,2
GARED,2
RHAEGAR,2
ASSASSIN,2
BRANDON_STARK,2
ROBERT,1
DAENERYS,1
JORAH,1
JON,1
SAM,1
LITTLEFINGER,1
VARYS,1
ARYA,1
BRONN,1
SHAE,1
SANSA,1
VISERYS,1
SEPTA_MORDANE,1
JEOR,1
THEON,1
BRAN,1
JAIME,1
LORAS,1
MIRRI_MAZ_DUUR,1
SYRIO_FOREL,1
JORY_CASSEL,1
ROS,1
GRENN,1
WALDER,1
DOREAH,1
MORD,1
RAKHARO,1
RODRIK,1
MAESTER_AEMON,1
BARRISTAN,1
ILLYRIO,1
SHAGGA,1
YOREN,1
WINE_MERCHANT,1
LANCEL,1
RICKON,1
MARILLION,1
RHAEGO,1
GENDRY,1
HOT_PIE,1
LOMMY_GREENHANDS,1
HODOR,1
STANNIS,1
MAGO,1
MYCAH,1
TOBHO_MOTT,1
OLD_NAN,1
MHAEGEN,1
AERYS,1
BAELOR,1
DAREON,1
OTHELL_YARWYCK,1
MOUNTAIN,1
TOMARD,1
ROYCE,1
JONOS_BRACKEN,1
MASHA_HEDDLE,1
RICKARD_STARK,1
ILYN_PAYNE,1
WILL,1
LYANNA,1
RYGER_RIVERS,1
STEVRON_FREY,1
ADDAM_MARBRAND,1
LEO_LEFFORD,1
BALON,1
BERIC,1
HOSTER,1
COHOLLO,1
JHIQUI,1
MYRCELLA,1
AEGON,1
BORCAS,1
BOWEN_MARSH,1
LUKE,1
IROGENIA,1
GALBART_GLOVER,1
RICKARD_KARSTARK,1
HIGH_SEPTON,1
TYSHA,1
JAREMY_RYKKER,1
JOANNA,1
TOMMEN,1
LITTLE_BIRD,1
JOYEUSE,1
MACE,1
ROOSE_BOLTON,1
STEFFON,1
VARLY,1
RANDYLL,1
STABLE_BOY,0
WAYMAR_ROYCE,0
MELESSA,0
