Name,states
ROBERT,1
JORAH,1
LITTLEFINGER,1
CATELYN,1
CERSEI,1
SHAE,1
PYCELLE,1
SEPTA_MORDANE,1
TYWIN,1
JEOR,1
THEON,1
BRAN,1
LORAS,1
MIRRI_MAZ_DUUR,1
SYRIO_FOREL,1
JORY_CASSEL,1
PYP,1
GRENN,1
WALDER,1
BENJEN,1
IRRI,1
MORD,1
RAKHARO,1
ROBIN,1
MAESTER_AEMON,1
ILLYRIO,1
SHAGGA,1
WINE_MERCHANT,1
HOUND,1
LANCEL,1
MARILLION,1
VARDIS_EGEN,1
RHAEGO,1
LOMMY_GREENHANDS,1
MERYN_TRANT,1
JON_ARRYN,1
MYCAH,1
TOBHO_MOTT,1
RAST,1
OLD_NAN,1
HUGH_OF_THE_VALE,1
OTHELL_YARWYCK,1
OTHOR,1
MOUNTAIN,1
GARED,1
ROYCE,1
JONOS_BRACKEN,1
MASHA_HEDDLE,1
WILL,1
RYGER_RIVERS,1
ADDAM_MARBRAND,1
LEO_LEFFORD,1
RHAEGAR,1
ASSASSIN,1
BALON,1
BRANDON_STARK,1
COHOLLO,1
JHIQUI,1
AEGON,1
BOWEN_MARSH,1
LUKE,1
IROGENIA,1
RICKARD_KARSTARK,1
TYSHA,1
JAREMY_RYKKER,1
JOANNA,1
TOMMEN,1
JOYEUSE,1
STEFFON,1
VARLY,1
