Name,number of time being infected
NED,1
JORAH,1
JON,1
DROGO,1
ARYA,1
CATELYN,1
TYRION,1
JEOR,1
MIRRI_MAZ_DUUR,1
SYRIO_FOREL,1
DOREAH,1
OSHA,1
QOTHO,1
ALLISER_THORNE,1
MARILLION,1
MERYN_TRANT,1
HODOR,1
AERYS,1
OTHELL_YARWYCK,1
RICKARD_STARK,1
WAYMAR_ROYCE,1
BRANDON_STARK,1
IROGENIA,1
JAREMY_RYKKER,1
STEFFON,1
VARLY,1
ROBERT,0
DAENERYS,0
SAM,0
LITTLEFINGER,0
VARYS,0
ROBB,0
BRONN,0
CERSEI,0
SHAE,0
JOFFREY,0
SANSA,0
PYCELLE,0
VISERYS,0
SEPTA_MORDANE,0
TYWIN,0
THEON,0
BRAN,0
MAESTER_LUWIN,0
JAIME,0
LORAS,0
RENLY,0
JORY_CASSEL,0
PYP,0
ROS,0
GRENN,0
WALDER,0
BENJEN,0
IRRI,0
GREATJON_UMBER,0
MORD,0
LYSA,0
RAKHARO,0
ROBIN,0
RODRIK,0
MAESTER_AEMON,0
BARRISTAN,0
ILLYRIO,0
SHAGGA,0
YOREN,0
WINE_MERCHANT,0
HOUND,0
LANCEL,0
RICKON,0
KEVAN,0
VARDIS_EGEN,0
RHAEGO,0
JANOS,0
GENDRY,0
HOT_PIE,0
LOMMY_GREENHANDS,0
JON_ARRYN,0
STANNIS,0
MAGO,0
MYCAH,0
TOBHO_MOTT,0
RAST,0
OLD_NAN,0
MHAEGEN,0
BAELOR,0
DAREON,0
STABLE_BOY,0
HUGH_OF_THE_VALE,0
OTHOR,0
MOUNTAIN,0
TOMARD,0
GARED,0
ROYCE,0
JONOS_BRACKEN,0
MASHA_HEDDLE,0
ILYN_PAYNE,0
WILL,0
LYANNA,0
RYGER_RIVERS,0
STEVRON_FREY,0
ADDAM_MARBRAND,0
LEO_LEFFORD,0
RHAEGAR,0
ASSASSIN,0
BALON,0
BERIC,0
HOSTER,0
COHOLLO,0
JHIQUI,0
MYRCELLA,0
AEGON,0
BORCAS,0
BOWEN_MARSH,0
LUKE,0
GALBART_GLOVER,0
RICKARD_KARSTARK,0
HIGH_SEPTON,0
TYSHA,0
JOANNA,0
TOMMEN,0
LITTLE_BIRD,0
JOYEUSE,0
MACE,0
MELESSA,0
ROOSE_BOLTON,0
RANDYLL,0
