9.367231683730571135e+00 0.000000000000000000e+00 6.545509486096265483e+00 -1.393778362658757430e-01 1.314821999925113261e+01 1.729039600544197697e-01 5.825604599743653722e+01 3.748913299217759842e+00
9.353420549252220439e+00 0.000000000000000000e+00 6.534581644448782534e+00 -1.408067321283645867e-01 1.312261771271653288e+01 1.701488051331416784e-01 5.808812025190212580e+01 3.736749825435904171e+00
9.339612084852978668e+00 0.000000000000000000e+00 6.523665800543804849e+00 -1.405439718296079832e-01 1.309705346957996142e+01 1.673968434449655263e-01 5.792064581519236555e+01 3.724610944365106313e+00
9.325806343972123713e+00 0.000000000000000000e+00 6.512761942051591646e+00 -1.402803107434671404e-01 1.307152721514233029e+01 1.646480715842812970e-01 5.775362144751359494e+01 3.712496606130671672e+00
9.312003379793027946e+00 0.000000000000000000e+00 6.501870056655152830e+00 -1.400157531017587331e-01 1.304603889478550371e+01 1.619024861492750489e-01 5.758704591264724115e+01 3.700406760965710973e+00
9.298203245244121007e+00 0.000000000000000000e+00 6.490990132050320938e+00 -1.397503031245026506e-01 1.302058845397156617e+01 1.591600837418472025e-01 5.742091797793963792e+01 3.688341359210959958e+00
9.284405992999799295e+00 0.000000000000000000e+00 6.480122155945756468e+00 -1.394839650199539705e-01 1.299517583824312261e+01 1.564208609676587258e-01 5.725523641429077770e+01 3.676300351314484516e+00
9.270611675481411851e+00 0.000000000000000000e+00 6.469266116062777350e+00 -1.392167429846580262e-01 1.296980099322291302e+01 1.536848144361169233e-01 5.708999999614250243e+01 3.664283687831364489e+00
9.256820344858198268e+00 0.000000000000000000e+00 6.458422000135612073e+00 -1.389486412034450780e-01 1.294446386461391185e+01 1.509519407603630015e-01 5.692520750146944408e+01 3.652291319423580873e+00
9.243032053048143126e+00 0.000000000000000000e+00 6.447589795911071064e+00 -1.403675885712800664e-01 1.291916439819904916e+01 1.482222365572773981e-01 5.676085771176713024e+01 3.640323196859673871e+00
9.229246851718983180e+00 0.000000000000000000e+00 6.436769491148784716e+00 -1.400973719314659860e-01 1.289390253984109869e+01 1.454956984474602422e-01 5.659694941204119800e+01 3.628379271014496865e+00
9.215464792289107976e+00 0.000000000000000000e+00 6.425961073621099473e+00 -1.398262848281834891e-01 1.286867823548258372e+01 1.427723230552384592e-01 5.643348139079712666e+01 3.616459492868990822e+00
9.201685925928481780e+00 0.000000000000000000e+00 6.415164531113032531e+00 -1.395543314106024724e-01 1.284349143114576997e+01 1.400521070086764297e-01 5.627045244002964353e+01 3.604563813509955139e+00
9.187910303559529979e+00 0.000000000000000000e+00 6.404379851422275394e+00 -1.392815158163216438e-01 1.281834207293236716e+01 1.373350469395457907e-01 5.610786135521126994e+01 3.592692184129742117e+00
9.174137975858149829e+00 0.000000000000000000e+00 6.393607022359213410e+00 -1.390078421713738521e-01 1.279323010702339936e+01 1.346211394833201069e-01 5.594570693528293504e+01 3.580844556026082870e+00
9.160368993254509817e+00 0.000000000000000000e+00 6.382846031746909787e+00 -1.387333145902829301e-01 1.276815547967916764e+01 1.319103812791837527e-01 5.578398798264222336e+01 3.569020880601765811e+00
9.146603405934007114e+00 0.000000000000000000e+00 6.372096867421049637e+00 -1.384579371760619182e-01 1.274311813723929987e+01 1.292027689700425697e-01 5.562270330313380384e+01 3.557221109364467893e+00
9.132841263838191281e+00 0.000000000000000000e+00 6.361359517229944416e+00 -1.381817140202699079e-01 1.271811802612221420e+01 1.264982992024794584e-01 5.546185170603813219e+01 3.545445193926443750e+00
9.119082616665657781e+00 0.000000000000000000e+00 6.350633969034534587e+00 -1.395895418730574988e-01 1.269315509282531629e+01 1.237969686267845759e-01 5.530143200406164539e+01 3.533693086004333850e+00
9.105327513872923717e+00 0.000000000000000000e+00 6.339920210708350545e+00 -1.393112462733512302e-01 1.266822928392481451e+01 1.210987738969340199e-01 5.514144301332574116e+01 3.521964737418866065e+00
9.091576004675333778e+00 0.000000000000000000e+00 6.329218230137553469e+00 -1.390321140220489582e-01 1.264334054607556546e+01 1.184037116705916048e-01 5.498188355335680200e+01 3.510260100094669156e+00
9.077828138048007034e+00 0.000000000000000000e+00 6.318528015220811866e+00 -1.387521491757599534e-01 1.261848882601095845e+01 1.157117786091088618e-01 5.482275244707577855e+01 3.498579126060008093e+00
9.064083962726613208e+00 0.000000000000000000e+00 6.307849553869453452e+00 -1.384713557797265793e-01 1.259367407054270060e+01 1.130229713775001699e-01 5.466404852078785837e+01 3.486921767446542475e+00
9.050343527208404737e+00 0.000000000000000000e+00 6.297182834007247543e+00 -1.381897378678740296e-01 1.256889622656095007e+01 1.103372866444640721e-01 5.450577060417153774e+01 3.475287976489047637e+00
9.036606879752955734e+00 0.000000000000000000e+00 6.286527843570586249e+00 -1.379072994628369742e-01 1.254415524103392876e+01 1.076547210823672884e-01 5.434791753026944860e+01 3.463677705525253003e+00
9.022874068383154977e+00 0.000000000000000000e+00 6.275884570508385885e+00 -1.376240445759737696e-01 1.251945106100792593e+01 1.049752713672358340e-01 5.419048813547735932e+01 3.452090906995538333e+00
9.009145140886031911e+00 0.000000000000000000e+00 6.265253002781949299e+00 -1.390220524805609870e-01 1.249478363360727684e+01 1.022989341787710060e-01 5.403348125953443315e+01 3.440527533442748975e+00
8.995420144813618180e+00 0.000000000000000000e+00 6.254633128365274075e+00 -1.387367618383681389e-01 1.247015290603392934e+01 9.962570620030142265e-02 5.387689574551232852e+01 3.428987537511874351e+00
