 # Cycle    Energy/N    Magnetization/N
         372  -1.84000003      0.939999998    
         374  -1.84000003      0.959999979    
         376  -1.91999996      0.980000019    
         378  -1.75999999      0.920000017    
         380  -1.75999999      0.939999998    
         382  -1.51999998      0.839999974    
         384  -1.39999998      0.740000010    
         386  -1.84000003      0.959999979    
         388  -2.00000000       1.00000000    
         390  -1.63999999      0.860000014    
         392  -1.15999997      0.680000007    
         394  -1.44000006      0.819999993    
         396  -1.75999999      0.920000017    
         398  -1.84000003      0.959999979    
         400  -1.67999995      0.899999976    
         402  -1.84000003      0.959999979    
         404  -1.75999999      0.920000017    
         406  -1.91999996      0.980000019    
         408  -1.75999999      0.939999998    
         410  -1.63999999      0.860000014    
         412  -1.84000003      0.959999979    
         414  -1.75999999      0.939999998    
         416  -1.75999999      0.939999998    
         418  -1.67999995      0.899999976    
         420  -1.51999998      0.819999993    
         422  -1.75999999      0.920000017    
         424  -1.91999996      0.980000019    
         426  -1.75999999      0.920000017    
         428  -1.67999995      0.860000014    
         430  -1.84000003      0.959999979    
         432  -1.72000003      0.920000017    
         434  -1.75999999      0.939999998    
         436  -1.75999999      0.920000017    
         438  -1.91999996      0.980000019    
         440  -1.60000002      0.860000014    
         442  -1.84000003      0.939999998    
         444  -1.91999996      0.980000019    
         446  -1.88000000      0.959999979    
         448  -1.63999999      0.879999995    
         450  -1.84000003      0.959999979    
         452  -1.51999998      0.839999974    
         454  -1.67999995      0.920000017    
         456  -1.72000003      0.920000017    
         458  -2.00000000       1.00000000    
         460  -1.51999998      0.779999971    
         462  -1.63999999      0.879999995    
         464  -1.75999999      0.920000017    
         466  -1.84000003      0.959999979    
         468  -1.91999996      0.980000019    
         470  -1.75999999      0.939999998    
         472  -1.67999995      0.920000017    
         474  -1.44000006      0.759999990    
         476  -1.48000002      0.720000029    
         478  -1.72000003      0.899999976    
         480  -1.67999995      0.899999976    
         482  -1.67999995      0.899999976    
         484  -1.72000003      0.920000017    
         486  -1.91999996      0.980000019    
         488  -1.88000000      0.959999979    
         490  -1.72000003      0.920000017    
         492  -2.00000000       1.00000000    
         494  -2.00000000       1.00000000    
         496  -1.79999995      0.939999998    
         498  -1.84000003      0.959999979    
         500  -1.72000003      0.920000017    
         502  -1.63999999      0.899999976    
         504  -1.67999995      0.920000017    
         506  -1.84000003      0.959999979    
         508  -1.84000003      0.959999979    
         510  -1.67999995      0.920000017    
         512  -1.79999995      0.939999998    
         514  -1.60000002      0.879999995    
         516  -1.63999999      0.879999995    
         518  -1.51999998      0.860000014    
         520  -1.75999999      0.939999998    
         522  -1.79999995      0.939999998    
         524  -2.00000000       1.00000000    
         526  -1.72000003      0.920000017    
         528  -1.84000003      0.959999979    
         530  -2.00000000       1.00000000    
         532  -1.88000000      0.959999979    
         534  -1.72000003      0.899999976    
         536  -1.75999999      0.939999998    
         538  -1.72000003      0.920000017    
         540  -1.91999996      0.980000019    
         542  -2.00000000       1.00000000    
         544  -1.75999999      0.939999998    
         546  -1.55999994      0.860000014    
         548  -1.72000003      0.920000017    
         550  -1.84000003      0.959999979    
         552  -1.75999999      0.939999998    
         554  -1.84000003      0.959999979    
         556  -1.84000003      0.959999979    
         558  -1.72000003      0.920000017    
         560  -1.91999996      0.980000019    
         562  -1.60000002      0.879999995    
         564  -1.39999998      0.800000012    
         566  -1.67999995      0.920000017    
         568  -2.00000000       1.00000000    
         570  -1.75999999      0.939999998    
         572  -1.72000003      0.920000017    
         574  -1.75999999      0.920000017    
         576  -1.67999995      0.920000017    
         578  -2.00000000       1.00000000    
         580  -1.63999999      0.899999976    
         582  -1.75999999      0.939999998    
         584  -1.91999996      0.980000019    
         586  -1.88000000      0.959999979    
         588  -1.84000003      0.959999979    
         590  -1.75999999      0.939999998    
         592  -2.00000000       1.00000000    
         594  -1.63999999      0.899999976    
         596  -1.91999996      0.980000019    
         598  -1.67999995      0.879999995    
         600  -1.44000006      0.759999990    
         602  -1.48000002      0.819999993    
         604  -1.67999995      0.920000017    
         606  -1.51999998      0.860000014    
         608  -1.60000002      0.879999995    
         610  -1.60000002      0.839999974    
         612  -1.60000002      0.860000014    
         614  -1.84000003      0.959999979    
         616  -1.51999998      0.819999993    
         618  -1.75999999      0.920000017    
         620  -1.51999998      0.860000014    
         622  -1.67999995      0.899999976    
         624  -1.51999998      0.819999993    
         626  -1.67999995      0.860000014    
         628  -1.60000002      0.839999974    
         630  -1.36000001      0.759999990    
         632  -1.51999998      0.819999993    
         634  -1.60000002      0.879999995    
         636  -1.84000003      0.959999979    
         638  -1.60000002      0.879999995    
         640  -1.75999999      0.939999998    
         642  -1.91999996      0.980000019    
         644  -1.36000001      0.800000012    
         646  -1.67999995      0.879999995    
         648  -2.00000000       1.00000000    
         650  -1.79999995      0.939999998    
         652  -1.75999999      0.939999998    
         654  -1.88000000      0.959999979    
         656  -1.63999999      0.899999976    
         658  -1.91999996      0.980000019    
         660  -1.67999995      0.899999976    
         662  -1.60000002      0.879999995    
         664  -1.48000002      0.839999974    
         666  -1.51999998      0.839999974    
         668  -1.32000005      0.779999971    
         670  -1.63999999      0.879999995    
         672  -1.72000003      0.899999976    
         674  -1.44000006      0.779999971    
         676  -1.75999999      0.899999976    
         678  -1.51999998      0.819999993    
         680  -1.88000000      0.959999979    
         682  -1.72000003      0.920000017    
         684  -1.44000006      0.819999993    
         686  -1.55999994      0.839999974    
         688  -1.67999995      0.920000017    
         690  -1.48000002      0.819999993    
         692  -1.67999995      0.819999993    
         694  -1.60000002      0.800000012    
         696  -1.91999996      0.980000019    
         698  -1.84000003      0.959999979    
         700  -1.91999996      0.980000019    
         702  -1.67999995      0.920000017    
         704  -1.39999998      0.819999993    
         706  -1.27999997      0.660000026    
         708  -1.55999994      0.879999995    
         710  -1.75999999      0.920000017    
         712  -1.60000002      0.860000014    
         714  -1.79999995      0.939999998    
         716  -1.67999995      0.920000017    
         718  -1.51999998      0.839999974    
         720  -1.44000006      0.839999974    
         722  -1.67999995      0.899999976    
         724  -1.48000002      0.779999971    
         726  -1.08000004      0.540000021    
         728 -0.959999979      0.460000008    
         730  -1.72000003      0.899999976    
         732  -1.91999996      0.980000019    
         734  -1.84000003      0.959999979    
         736  -1.91999996      0.980000019    
         738  -1.91999996      0.980000019    
         740  -1.67999995      0.920000017    
         742  -1.91999996      0.980000019    
         744  -1.55999994      0.879999995    
         746  -1.51999998      0.860000014    
         748  -1.55999994      0.879999995    
         750  -1.79999995      0.939999998    
         752  -1.67999995      0.899999976    
         754  -1.60000002      0.879999995    
         756  -2.00000000       1.00000000    
         758  -1.91999996      0.980000019    
         760  -2.00000000       1.00000000    
         762  -1.67999995      0.920000017    
         764  -1.91999996      0.980000019    
         766  -1.67999995      0.879999995    
         768  -1.72000003      0.920000017    
         770  -1.63999999      0.879999995    
         772  -1.60000002      0.839999974    
         774  -1.84000003      0.959999979    
         776  -1.75999999      0.920000017    
         778  -1.91999996      0.980000019    
         780  -1.91999996      0.980000019    
         782  -1.91999996      0.980000019    
         784  -1.75999999      0.920000017    
         786  -1.84000003      0.959999979    
         788  -1.75999999      0.939999998    
         790  -1.63999999      0.879999995    
         792  -1.91999996      0.980000019    
         794  -1.75999999      0.939999998    
         796  -1.84000003      0.959999979    
         798  -1.79999995      0.939999998    
         800  -1.88000000      0.959999979    
         802  -1.91999996      0.980000019    
         804  -1.79999995      0.939999998    
         806  -1.72000003      0.920000017    
         808  -1.75999999      0.939999998    
         810  -1.75999999      0.920000017    
         812  -1.84000003      0.939999998    
         814  -1.63999999      0.839999974    
         816  -1.24000001      0.560000002    
         818  -1.39999998      0.740000010    
         820  -1.32000005      0.720000029    
         822  -1.32000005      0.680000007    
         824  -1.55999994      0.800000012    
         826  -1.48000002      0.779999971    
         828  -1.75999999      0.939999998    
         830  -1.60000002      0.879999995    
         832  -1.63999999      0.899999976    
         834  -1.91999996      0.980000019    
         836  -1.51999998      0.819999993    
         838  -1.51999998      0.860000014    
         840  -1.67999995      0.920000017    
         842  -1.55999994      0.879999995    
         844  -1.84000003      0.959999979    
         846  -1.72000003      0.920000017    
         848  -1.55999994      0.860000014    
         850  -1.67999995      0.899999976    
         852  -1.84000003      0.939999998    
         854  -1.51999998      0.800000012    
