 # Cycle    Energy/N    Magnetization/N
         356  -1.60000002     -0.839999974    
         358  -1.60000002     -0.839999974    
         360  -1.84000003     -0.959999979    
         362  -1.84000003     -0.959999979    
         364  -1.72000003     -0.819999993    
         366  -1.67999995     -0.899999976    
         368  -1.55999994     -0.879999995    
         370  -1.39999998     -0.800000012    
         372  -1.75999999     -0.939999998    
         374  -1.75999999     -0.939999998    
         376  -1.91999996     -0.980000019    
         378  -1.72000003     -0.920000017    
         380  -1.75999999     -0.939999998    
         382  -1.75999999     -0.920000017    
         384  -1.84000003     -0.959999979    
         386  -1.72000003     -0.920000017    
         388  -2.00000000      -1.00000000    
         390  -1.84000003     -0.939999998    
         392  -1.79999995     -0.939999998    
         394  -1.67999995     -0.920000017    
         396  -1.67999995     -0.920000017    
         398  -1.79999995     -0.939999998    
         400  -1.79999995     -0.939999998    
         402  -1.84000003     -0.959999979    
         404  -1.91999996     -0.980000019    
         406  -1.48000002     -0.819999993    
         408  -1.91999996     -0.980000019    
         410  -2.00000000      -1.00000000    
         412  -1.79999995     -0.939999998    
         414  -1.72000003     -0.920000017    
         416  -1.63999999     -0.879999995    
         418  -1.79999995     -0.939999998    
         420  -1.60000002     -0.899999976    
         422  -1.75999999     -0.939999998    
         424  -1.79999995     -0.939999998    
         426  -1.91999996     -0.980000019    
         428  -1.79999995     -0.939999998    
         430  -1.91999996     -0.980000019    
         432  -1.91999996     -0.980000019    
         434  -2.00000000      -1.00000000    
         436  -1.72000003     -0.920000017    
         438  -1.79999995     -0.920000017    
         440  -1.75999999     -0.920000017    
         442  -1.91999996     -0.980000019    
         444  -1.91999996     -0.980000019    
         446  -1.91999996     -0.980000019    
         448  -2.00000000      -1.00000000    
         450  -1.91999996     -0.980000019    
         452  -1.55999994     -0.839999974    
         454  -1.63999999     -0.899999976    
         456  -1.75999999     -0.939999998    
         458  -1.75999999     -0.939999998    
         460  -1.84000003     -0.959999979    
         462  -1.75999999     -0.939999998    
         464  -1.84000003     -0.959999979    
         466  -1.84000003     -0.959999979    
         468  -1.88000000     -0.959999979    
         470  -1.67999995     -0.899999976    
         472  -1.79999995     -0.939999998    
         474  -1.91999996     -0.980000019    
         476  -1.88000000     -0.959999979    
         478  -1.48000002     -0.759999990    
         480  -1.32000005     -0.660000026    
         482  -1.60000002     -0.860000014    
         484  -1.72000003     -0.920000017    
         486  -1.67999995     -0.899999976    
         488  -1.60000002     -0.899999976    
         490  -1.44000006     -0.819999993    
         492  -1.39999998     -0.720000029    
         494  -1.63999999     -0.819999993    
         496  -1.55999994     -0.860000014    
         498  -1.63999999     -0.879999995    
         500  -1.51999998     -0.839999974    
         502  -1.51999998     -0.839999974    
         504  -1.63999999     -0.899999976    
         506  -1.84000003     -0.959999979    
         508  -1.67999995     -0.920000017    
         510  -1.91999996     -0.980000019    
         512  -1.75999999     -0.939999998    
         514  -1.44000006     -0.800000012    
         516  -1.63999999     -0.879999995    
         518  -1.79999995     -0.939999998    
         520  -1.51999998     -0.839999974    
         522  -1.79999995     -0.920000017    
         524  -1.84000003     -0.959999979    
         526  -1.84000003     -0.959999979    
         528  -2.00000000      -1.00000000    
         530  -2.00000000      -1.00000000    
         532  -1.84000003     -0.959999979    
         534  -1.67999995     -0.899999976    
