 # Cycle    Energy/N    Magnetization/N
           2  -1.08000004       9.33333337E-02
           4  -1.38666666       7.55555555E-02
           6  -1.51555550       5.99999987E-02
           8  -1.57333338       2.88888887E-02
          10  -1.62222219       6.66666701E-02
          12  -1.67111111       4.22222205E-02
          14  -1.66666663      -2.22222228E-03
          16  -1.68444443      -1.55555559E-02
          18  -1.69777775      -1.99999996E-02
          20  -1.72000003      -2.22222228E-03
          22  -1.71111107       4.44444455E-03
          24  -1.74222219      -1.99999996E-02
          26  -1.72888887      -4.66666669E-02
          28  -1.72888887      -4.22222205E-02
          30  -1.75555551      -6.88888878E-02
          32  -1.75555551      -8.44444409E-02
          34  -1.79555559      -9.77777764E-02
          36  -1.80888891     -0.102222219    
          38  -1.80888891     -0.100000001    
          40  -1.80444443      -8.88888910E-02
          42  -1.80888891      -5.99999987E-02
          44  -1.80888891      -7.55555555E-02
          46  -1.80888891      -5.99999987E-02
          48  -1.79999995      -5.33333346E-02
          50  -1.79555559      -3.33333351E-02
          52  -1.79999995      -3.77777778E-02
          54  -1.80444443      -3.99999991E-02
          56  -1.82222223      -2.44444441E-02
          58  -1.82222223      -3.99999991E-02
          60  -1.81777775      -4.22222205E-02
          62  -1.84000003      -6.88888878E-02
          64  -1.82666671      -7.11111128E-02
          66  -1.82666671      -6.66666701E-02
          68  -1.82222223      -9.55555588E-02
          70  -1.78666663      -9.33333337E-02
          72  -1.81333339     -0.111111112    
          74  -1.79999995     -0.133333340    
          76  -1.80444443     -0.122222222    
          78  -1.80444443     -0.124444447    
          80  -1.80444443     -0.140000001    
          82  -1.79999995     -0.142222226    
          84  -1.81777775     -0.175555557    
          86  -1.81777775     -0.166666672    
          88  -1.81333339     -0.173333332    
          90  -1.81777775     -0.144444451    
          92  -1.80444443     -0.166666672    
          94  -1.81777775     -0.144444451    
          96  -1.81777775     -0.142222226    
          98  -1.80444443     -0.140000001    
         100  -1.80888891     -0.142222226    
         102  -1.81333339     -0.146666661    
         104  -1.80888891     -0.148888886    
         106  -1.81333339     -0.166666672    
         108  -1.83111107     -0.177777782    
         110  -1.81777775     -0.171111107    
         112  -1.83555555     -0.182222217    
         114  -1.83555555     -0.184444442    
         116  -1.82666671     -0.193333328    
         118  -1.79555559     -0.177777782    
         120  -1.81777775     -0.171111107    
         122  -1.79999995     -0.166666672    
         124  -1.81777775     -0.166666672    
         126  -1.81333339     -0.177777782    
         128  -1.82666671     -0.166666672    
         130  -1.80444443     -0.157777771    
         132  -1.80444443     -0.166666672    
         134  -1.81777775     -0.191111118    
         136  -1.79999995     -0.206666663    
         138  -1.82222223     -0.195555553    
         140  -1.80888891     -0.213333338    
