 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
         346  -1.67279994       9.70000029E-02
         348  -1.68519998       9.75999981E-02
         350  -1.69280005       9.56000015E-02
         352  -1.70959997       9.93999988E-02
         354  -1.71519995       9.60000008E-02
         356  -1.71720004       8.56000036E-02
         358  -1.69599998       7.72000030E-02
         360  -1.68879998       8.79999995E-02
         362  -1.69640005       9.05999988E-02
         364  -1.68560004       9.22000036E-02
         366  -1.67519999       9.78000015E-02
         368  -1.70640004       8.91999975E-02
         370  -1.68760002       7.91999996E-02
         372  -1.71159995       9.39999968E-02
         374  -1.69280005       9.39999968E-02
         376  -1.69280005       9.00000036E-02
         378  -1.69000006       8.03999975E-02
         380  -1.66880000       8.87999982E-02
         382  -1.68640006       9.44000036E-02
         384  -1.72479999      0.101800002    
         386  -1.72119999       9.83999968E-02
         388  -1.70879996       9.45999995E-02
         390  -1.69560003       7.91999996E-02
         392  -1.70640004       8.29999968E-02
         394  -1.69920003       8.21999982E-02
         396  -1.67359996       7.46000037E-02
         398  -1.70000005       8.56000036E-02
         400  -1.69519997       8.50000009E-02
         402  -1.68079996       6.84000030E-02
         404  -1.67999995       5.88000007E-02
         406  -1.69000006       5.57999983E-02
         408  -1.69840002       5.35999984E-02
         410  -1.69040000       5.05999997E-02
         412  -1.68760002       5.44000007E-02
         414  -1.71039999       4.67999987E-02
         416  -1.70280004       4.39999998E-02
         418  -1.71840000       4.28000018E-02
         420  -1.71280003       3.97999994E-02
         422  -1.73360002       5.27999997E-02
         424  -1.69120002       4.63999994E-02
         426  -1.68040001       3.68000008E-02
         428  -1.68439996       3.66000012E-02
         430  -1.71879995       3.94000001E-02
         432  -1.71560001       4.08000015E-02
         434  -1.68879998       3.97999994E-02
         436  -1.69679999       3.73999998E-02
         438  -1.69760001       4.43999991E-02
         440  -1.70400000       3.99999991E-02
         442  -1.70280004       3.04000005E-02
         444  -1.70039999       3.92000005E-02
         446  -1.71519995       3.31999995E-02
         448  -1.71200001       2.67999992E-02
         450  -1.70799994       2.77999993E-02
         452  -1.69679999       3.09999995E-02
         454  -1.71679997       2.72000004E-02
         456  -1.70760000       2.55999994E-02
         458  -1.68959999       1.48000000E-02
         460  -1.69640005       2.41999999E-02
         462  -1.71200001       1.89999994E-02
         464  -1.69719994       2.04000007E-02
         466  -1.72839999       1.74000002E-02
         468  -1.69760001       4.19999985E-03
         470  -1.70319998       1.00000005E-03
         472  -1.70079994       9.20000020E-03
         474  -1.72319996       1.15999999E-02
         476  -1.70079994       2.04000007E-02
         478  -1.72679996       2.48000007E-02
         480  -1.72759998       3.09999995E-02
         482  -1.69000006       1.87999997E-02
         484  -1.71200001       1.40000004E-02
         486  -1.70360005       1.96000002E-02
         488  -1.70439994       1.11999996E-02
         490  -1.70120001       1.18000004E-02
         492  -1.69760001       1.79999997E-03
         494  -1.71319997       1.27999997E-02
         496  -1.71480000       1.40000004E-02
