 # Cycle    Energy/N    Magnetization/N
         354  -1.91999996     -0.980000019    
         356  -1.84000003     -0.959999979    
         358  -1.84000003     -0.959999979    
         360  -1.84000003     -0.959999979    
         362  -1.55999994     -0.879999995    
         364  -1.51999998     -0.860000014    
         366  -1.24000001     -0.680000007    
         368  -1.27999997     -0.720000029    
         370  -1.44000006     -0.680000007    
         372  -1.55999994     -0.600000024    
         374  -1.75999999     -0.860000014    
         376  -1.91999996     -0.980000019    
         378  -1.88000000     -0.959999979    
         380  -1.91999996     -0.980000019    
         382  -1.84000003     -0.959999979    
         384  -1.84000003     -0.959999979    
         386  -1.63999999     -0.899999976    
         388  -1.39999998     -0.699999988    
         390  -1.24000001     -0.639999986    
         392  -1.51999998     -0.839999974    
         394  -1.67999995     -0.920000017    
         396  -1.79999995     -0.939999998    
         398  -1.84000003     -0.959999979    
         400  -1.91999996     -0.980000019    
         402  -1.67999995     -0.899999976    
         404  -1.79999995     -0.939999998    
         406  -1.91999996     -0.980000019    
         408  -1.60000002     -0.879999995    
         410  -1.39999998     -0.720000029    
         412  -1.60000002     -0.879999995    
         414  -1.51999998     -0.860000014    
         416  -1.51999998     -0.759999990    
         418  -1.51999998     -0.860000014    
         420  -1.55999994     -0.879999995    
         422  -1.79999995     -0.939999998    
         424  -1.55999994     -0.819999993    
         426  -1.67999995     -0.899999976    
         428  -1.63999999     -0.879999995    
         430  -1.39999998     -0.779999971    
         432  -1.44000006     -0.779999971    
         434  -1.48000002     -0.740000010    
         436  -1.44000006     -0.819999993    
         438  -1.72000003     -0.920000017    
         440  -1.51999998     -0.860000014    
         442  -1.72000003     -0.920000017    
         444  -1.51999998     -0.819999993    
         446  -1.72000003     -0.899999976    
         448  -1.72000003     -0.920000017    
         450  -1.88000000     -0.959999979    
         452  -2.00000000      -1.00000000    
         454  -2.00000000      -1.00000000    
         456  -1.55999994     -0.879999995    
         458  -1.51999998     -0.839999974    
         460  -1.51999998     -0.819999993    
         462  -1.63999999     -0.879999995    
         464  -1.91999996     -0.980000019    
         466  -1.91999996     -0.980000019    
         468  -1.84000003     -0.959999979    
         470  -1.72000003     -0.920000017    
         472  -1.75999999     -0.920000017    
         474  -1.88000000     -0.959999979    
         476  -1.67999995     -0.899999976    
         478  -1.67999995     -0.920000017    
         480  -1.84000003     -0.959999979    
         482  -1.63999999     -0.860000014    
         484  -1.44000006     -0.800000012    
         486  -1.72000003     -0.920000017    
         488  -1.39999998     -0.800000012    
         490  -1.20000005     -0.680000007    
         492  -1.48000002     -0.699999988    
         494  -1.75999999     -0.920000017    
         496  -1.91999996     -0.980000019    
         498  -1.84000003     -0.959999979    
         500  -1.55999994     -0.879999995    
         502  -1.88000000     -0.959999979    
         504  -1.63999999     -0.860000014    
         506  -1.91999996     -0.980000019    
         508  -1.84000003     -0.959999979    
         510  -1.84000003     -0.959999979    
         512  -1.51999998     -0.819999993    
         514  -1.44000006     -0.819999993    
         516  -1.44000006     -0.839999974    
         518  -1.32000005     -0.779999971    
         520  -1.51999998     -0.860000014    
         522  -1.84000003     -0.959999979    
         524  -1.67999995     -0.920000017    
         526  -1.55999994     -0.779999971    
         528  -1.79999995     -0.920000017    
         530  -1.91999996     -0.980000019    
         532  -1.84000003     -0.959999979    
         534  -1.39999998     -0.800000012    
         536  -1.44000006     -0.800000012    
         538  -1.48000002     -0.839999974    
         540  -1.48000002     -0.839999974    
         542  -1.55999994     -0.839999974    
         544  -1.75999999     -0.939999998    
         546  -1.84000003     -0.959999979    
         548  -1.75999999     -0.920000017    
         550  -1.79999995     -0.939999998    
         552  -1.88000000     -0.959999979    
         554  -1.91999996     -0.980000019    
         556  -2.00000000      -1.00000000    
         558  -1.75999999     -0.920000017    
         560  -2.00000000      -1.00000000    
         562  -1.84000003     -0.959999979    
         564  -1.75999999     -0.899999976    
         566  -1.67999995     -0.899999976    
         568  -1.67999995     -0.899999976    
         570  -2.00000000      -1.00000000    
         572  -1.60000002     -0.860000014    
         574  -1.39999998     -0.800000012    
         576  -1.48000002     -0.779999971    
         578  -1.39999998     -0.699999988    
         580  -1.72000003     -0.899999976    
         582  -1.60000002     -0.879999995    
         584  -1.60000002     -0.860000014    
         586  -1.63999999     -0.879999995    
         588  -1.63999999     -0.899999976    
         590  -1.67999995     -0.839999974    
         592  -1.72000003     -0.920000017    
         594  -1.67999995     -0.899999976    
         596  -1.27999997     -0.740000010    
         598  -1.48000002     -0.819999993    
         600  -1.51999998     -0.839999974    
         602  -1.75999999     -0.939999998    
         604  -1.63999999     -0.879999995    
         606  -1.51999998     -0.839999974    
         608  -1.72000003     -0.920000017    
         610  -1.60000002     -0.860000014    
         612  -1.60000002     -0.819999993    
         614  -1.39999998     -0.740000010    
         616  -1.51999998     -0.860000014    
         618  -1.72000003     -0.899999976    
         620  -1.72000003     -0.879999995    
         622  -1.63999999     -0.899999976    
         624  -2.00000000      -1.00000000    
         626  -1.75999999     -0.939999998    
         628  -2.00000000      -1.00000000    
         630  -1.84000003     -0.959999979    
         632  -1.91999996     -0.980000019    
         634  -1.51999998     -0.839999974    
         636  -1.44000006     -0.779999971    
         638  -1.72000003     -0.819999993    
         640  -1.91999996     -0.980000019    
         642  -1.51999998     -0.800000012    
         644  -1.48000002     -0.839999974    
         646  -1.60000002     -0.860000014    
         648  -1.48000002     -0.779999971    
         650  -1.75999999     -0.939999998    
         652  -1.55999994     -0.860000014    
         654  -1.63999999     -0.899999976    
         656  -1.63999999     -0.899999976    
         658  -1.84000003     -0.939999998    
         660  -1.63999999     -0.899999976    
         662  -1.44000006     -0.819999993    
         664  -1.12000000     -0.600000024    
