Name,Degree,Closeness,Betweenness
AEGON,0.01694915254237288,0.2222222222222222,0.01694915254237288
AERYS,0.01694915254237288,0.25213675213675213,0.0
ALLISER_THORNE,0.09322033898305085,0.3400576368876081,0.02328449955568599
AREO,0.07627118644067797,0.295,0.00019878635697844735
ARYA,0.09322033898305085,0.3352272727272727,0.07286330570691744
BARRISTAN,0.059322033898305086,0.2548596112311015,0.0018528291127161182
BLACK_HAIRED_PROSTITUTE,0.00847457627118644,0.28028503562945367,0.0
BRAN,0.025423728813559324,0.3105263157894737,0.0
BRAND,0.01694915254237288,0.2599118942731278,0.0
BRIAN,0.00847457627118644,0.2757009345794392,0.0
BRIENNE,0.06779661016949153,0.39730639730639733,0.021780379245870375
BRONN,0.1016949152542373,0.3352272727272727,0.0312753034507164
CATELYN,0.0423728813559322,0.34402332361516036,0.0002678540714933209
CERSEI,0.2542372881355932,0.4591439688715953,0.2670370382037797
CERWYN,0.00847457627118644,0.27314814814814814,0.0
DAARIO,0.0847457627118644,0.29064039408866993,0.0018490692993600357
DAENERYS,0.11864406779661017,0.3342776203966006,0.04830598175918911
DAVOS,0.07627118644067797,0.33618233618233617,0.00047736318922759596
DENYS,0.00847457627118644,0.2543103448275862,0.0
DERRYK,0.025423728813559324,0.26048565121412803,7.243227582210633e-05
DORAN,0.0847457627118644,0.30569948186528495,0.0020345685378480387
DORNISH_RIDER,0.01694915254237288,0.28921568627450983,0.0
EDDISON_TOLLETT,0.09322033898305085,0.3390804597701149,0.03415578457951338
ELLARIA,0.0847457627118644,0.33146067415730335,0.00701214301449619
FALYSE,0.00847457627118644,0.2515991471215352,0.0
GILLY,0.1016949152542373,0.3400576368876081,0.014159757380096357
GRENN,0.00847457627118644,0.20344827586206896,0.0
GREY_WORM,0.059322033898305086,0.2885085574572127,0.0013454925245968195
HIGH_SEPTON,0.059322033898305086,0.3268698060941828,0.0008490097473148318
HIGH_SPARROW,0.09322033898305085,0.3653250773993808,0.0092179977024616
HIZDAHR,0.0847457627118644,0.29064039408866993,0.002057743236847533
JAIME,0.1440677966101695,0.40273037542662116,0.1209620496109667
JANOS,0.059322033898305086,0.3342776203966006,4.138987189834647e-05
JAQEN,0.05084745762711865,0.2822966507177033,0.0019209693993447081
JEOR,0.01694915254237288,0.2789598108747045,0.0
JOFFREY,0.06779661016949153,0.38436482084690554,0.009580573196021824
JON,0.211864406779661,0.37942122186495175,0.15599253536610647
JORAH,0.09322033898305085,0.3400576368876081,0.023790598599562656
KARSI,0.03389830508474576,0.2776470588235294,0.00014486455164421265
KEVAN,0.05084745762711865,0.3215258855585831,0.000523012246176088
LANCEL,0.059322033898305086,0.3597560975609756,0.003382242365293212
LITTLE_SAM,0.059322033898305086,0.3333333333333333,6.20848078475197e-05
LITTLEFINGER,0.211864406779661,0.4555984555984556,0.18920653479318086
LOBODA,0.025423728813559324,0.27699530516431925,0.0
LOLLYS,0.025423728813559324,0.29064039408866993,0.01694915254237288
LORAS,0.07627118644067797,0.36419753086419754,0.0013821154568783476
LORD_OF_BONES,0.01694915254237288,0.27634660421545665,0.0
LORD_WEEBLY,0.01694915254237288,0.2789598108747045,0.0
LYANNA,0.01694915254237288,0.3241758241758242,0.0
LYANNA_MORMONT,0.00847457627118644,0.31216931216931215,0.0
LYSA,0.00847457627118644,0.31382978723404253,0.0
MACE,0.0847457627118644,0.3342776203966006,0.02204959661970702
MADAME,0.01694915254237288,0.27699530516431925,0.0
MAESTER_AEMON,0.0423728813559322,0.28365384615384615,0.03364996585335568
MAESTER_WOLKAN,0.00847457627118644,0.30412371134020616,0.0
MAGGY,0.025423728813559324,0.34502923976608185,0.0009005746293881881
MAGNAR,0.00847457627118644,0.25934065934065936,0.0
MALKO,0.01694915254237288,0.28095238095238095,0.0
MANCE,0.05084745762711865,0.33146067415730335,0.00023057607803370514
MARGAERY,0.06779661016949153,0.3522388059701492,0.0007807255065480388
MELARA,0.01694915254237288,0.3163538873994638,0.0
MELISANDRE,0.0847457627118644,0.3342776203966006,0.00035129653773721567
MERYN_TRANT,0.0847457627118644,0.3342776203966006,0.03298502305207791
MISSANDEI,0.05084745762711865,0.2871046228710462,2.0694935949173235e-05
MOSSADOR,0.059322033898305086,0.2885085574572127,0.0012768543203653955
MOUNTAIN,0.01694915254237288,0.27699530516431925,0.0
MYRANDA,0.05084745762711865,0.3430232558139535,0.0
MYRCELLA,0.06779661016949153,0.33053221288515405,0.0036902715528354317
NED,0.059322033898305086,0.40273037542662116,0.028389706826599796
NIGHT_KING,0.01694915254237288,0.27634660421545665,0.0
NYMERIA,0.05084745762711865,0.29280397022332505,3.219212258760281e-05
OBARA,0.07627118644067797,0.295,0.0005716401196627185
OBERYN,0.03389830508474576,0.3232876712328767,0.0013885034318582715
OLENNA,0.05084745762711865,0.3586626139817629,0.0005239179511235139
OLLY,0.0847457627118644,0.33714285714285713,0.00032922193939143095
OLYVAR,0.07627118644067797,0.3630769230769231,0.0018773145022601772
OWNER,0.03389830508474576,0.2857142857142857,0.0
PODRICK,0.05084745762711865,0.4068965517241379,0.04418646771892079
PYCELLE,0.059322033898305086,0.3286908077994429,0.0014806700035182667
PYP,0.01694915254237288,0.2548596112311015,0.01694915254237288
QUICK,0.0423728813559322,0.28640776699029125,0.0
QYBURN,0.05084745762711865,0.3268698060941828,0.0007780025175208046
RAMSAY,0.06779661016949153,0.3746031746031746,0.018894214861485466
RANDYLL,0.00847457627118644,0.25934065934065936,0.0
RENLY,0.0423728813559322,0.34502923976608185,0.0010604828075493
RHAEGAR,0.01694915254237288,0.30412371134020616,0.004307057935884203
RHAENYRA,0.00847457627118644,0.18209876543209877,0.0
RICKON,0.025423728813559324,0.3105263157894737,0.0
ROBB,0.0423728813559322,0.3710691823899371,0.014384710288665094
ROBERT,0.1016949152542373,0.4244604316546763,0.10416926329293577
ROBIN,0.025423728813559324,0.325068870523416,0.0
ROOSE_BOLTON,0.09322033898305085,0.4354243542435424,0.11774408375346056
ROYCE,0.025423728813559324,0.325068870523416,0.0
SAM,0.1694915254237288,0.34911242603550297,0.0740830366536581
SANSA,0.17796610169491525,0.44528301886792454,0.1299590521944892
SELWYN,0.00847457627118644,0.28502415458937197,0.0
SELYSE,0.059322033898305086,0.33146067415730335,1.810806895552658e-05
SEPTA_UNELLA,0.01694915254237288,0.3172043010752688,0.0
SHAE,0.01694915254237288,0.29873417721518986,0.0
SHIREEN,0.059322033898305086,0.33146067415730335,1.810806895552658e-05
STANNIS,0.2033898305084746,0.4521072796934866,0.323907053881389
STEFFON,0.00847457627118644,0.31216931216931215,0.0
