Name,Degree,Closeness,Betweenness
ADDAM_MARBRAND,0.024,0.319693094629156,6.666666666666666e-05
AEGON,0.016,0.3351206434316354,0.0
AERYS,0.10400000000000001,0.4562043795620438,0.022526632731661493
ALLISER_THORNE,0.064,0.35714285714285715,0.00023451100870455706
ARYA,0.224,0.5020080321285141,0.06600594833013682
ASSASSIN,0.024,0.37202380952380953,0.0
BAELOR,0.07200000000000001,0.4045307443365696,3.0465949820788532e-05
BALON,0.016,0.36656891495601174,0.0
BARRISTAN,0.088,0.4139072847682119,0.0004936244927326522
BENJEN,0.07200000000000001,0.4612546125461255,0.0006056602368865781
BERIC,0.016,0.3943217665615142,0.0
BORCAS,0.016,0.314070351758794,0.0
BOWEN_MARSH,0.016,0.314070351758794,0.0
BRAN,0.16,0.4921259842519685,0.02591822302976206
BRANDON_STARK,0.04,0.4280821917808219,0.0006422985616534001
BRONN,0.096,0.39308176100628933,0.002902835354949346
CATELYN,0.28800000000000003,0.5506607929515418,0.11828405295282027
CERSEI,0.232,0.508130081300813,0.017686880439783656
COHOLLO,0.008,0.2802690582959641,0.0
DAENERYS,0.14400000000000002,0.4562043795620438,0.10143128748178003
DAREON,0.08,0.35919540229885055,0.00607131828744732
DOREAH,0.064,0.3246753246753247,0.016453058642811963
DROGO,0.10400000000000001,0.38819875776397517,0.02812589390263722
GALBART_GLOVER,0.024,0.34153005464480873,6.451612903225807e-05
GARED,0.016,0.30193236714975846,0.0
GENDRY,0.048,0.3993610223642173,0.002382916703789569
GREATJON_UMBER,0.096,0.44014084507042256,0.009826014721486084
GRENN,0.064,0.3799392097264438,0.0018994491684619517
HIGH_SEPTON,0.008,0.38699690402476783,0.0
HODOR,0.04,0.3787878787878788,0.0003760691589334354
HOSTER,0.016,0.35919540229885055,0.0
HOT_PIE,0.024,0.33783783783783783,0.00010752688172043011
HOUND,0.14400000000000002,0.4716981132075472,0.006171287692396772
HUGH_OF_THE_VALE,0.048,0.39556962025316456,0.00016119625683193046
ILLYRIO,0.048,0.37425149700598803,0.0030341192646695502
ILYN_PAYNE,0.08,0.40584415584415584,8.294930875576036e-05
IROGENIA,0.008,0.2455795677799607,0.0
IRRI,0.056,0.3238341968911917,0.00036703713743561943
JAIME,0.192,0.49800796812749004,0.02085814689533238
JANOS,0.04,0.39308176100628933,0.0
JAREMY_RYKKER,0.024,0.32216494845360827,0.0
JEOR,0.128,0.46296296296296297,0.03580487345596209
JHIQUI,0.024,0.31645569620253167,0.0
JOANNA,0.008,0.3531073446327684,0.0
JOFFREY,0.216,0.5102040816326531,0.028645298572936437
JON,0.20800000000000002,0.5186721991701245,0.08533639644915651
JON_ARRYN,0.088,0.4280821917808219,0.004135031485944776
JONOS_BRACKEN,0.016,0.3405994550408719,0.0
JORAH,0.12,0.43252595155709345,0.053910440465872796
JORY_CASSEL,0.064,0.4208754208754209,0.0014441245029480322
JOYEUSE,0.008,0.2777777777777778,0.0
KEVAN,0.056,0.3687315634218289,0.002169324966963189
LANCEL,0.04,0.3980891719745223,0.0
LEO_LEFFORD,0.024,0.3561253561253561,0.0009971220380056286
LITTLE_BIRD,0.008,0.3026634382566586,0.0
LITTLEFINGER,0.20800000000000002,0.4770992366412214,0.015583793102196786
LOMMY_GREENHANDS,0.016,0.33602150537634407,0.0
LORAS,0.064,0.4032258064516129,0.01604193548387097
LUKE,0.016,0.314070351758794,0.0
LYANNA,0.024,0.39556962025316456,0.0
LYSA,0.056,0.38580246913580246,0.0003019655819685346
MACE,0.008,0.2880184331797235,0.0
MAESTER_AEMON,0.07200000000000001,0.4032258064516129,0.009591091104651978
MAESTER_LUWIN,0.08,0.44964028776978415,0.0025054919988475926
MAGO,0.016,0.31565656565656564,0.0
MARILLION,0.056,0.40192926045016075,0.0009200312194076506
MASHA_HEDDLE,0.016,0.3776435045317221,0.0
MELESSA,0.008,0.26595744680851063,0.0
MERYN_TRANT,0.07200000000000001,0.40584415584415584,0.0009724827947214852
MHAEGEN,0.024,0.3894080996884735,0.0
MIRRI_MAZ_DUUR,0.04,0.3213367609254499,0.0
MORD,0.056,0.3834355828220859,9.677419354838711e-05
MOUNTAIN,0.056,0.40192926045016075,0.0001917562724014337
MYCAH,0.032,0.3980891719745223,0.0
MYRCELLA,0.008,0.3531073446327684,0.0
NED,0.456,0.628140703517588,0.3032802081478768
OLD_NAN,0.024,0.34916201117318435,0.0
OSHA,0.048,0.352112676056338,0.0002009775171065494
OTHELL_YARWYCK,0.048,0.3531073446327684,0.0006302169744723458
OTHOR,0.032,0.351123595505618,0.0
PYCELLE,0.128,0.42955326460481097,0.002081609439536625
