#  i    Total    Potential    Kinetic    Temperature   Pressure
 113  -0.918439   -3.16844       2.25        1.5     1.9269
 114  -0.91931   -3.16931       2.25        1.5    1.91209
 115  -0.919959   -3.16996       2.25        1.5    1.89748
 116  -0.920408   -3.17041       2.25        1.5    1.88345
 117  -0.920684   -3.17068       2.25        1.5    1.86948
 118  -0.920809   -3.17081       2.25        1.5    1.85589
 119  -0.920811   -3.17081       2.25        1.5    1.84255
 120  -0.920718   -3.17072       2.25        1.5    1.82912
 121  -0.920552   -3.17055       2.25        1.5     1.8158
 122  -0.920339   -3.17034       2.25        1.5    1.80256
 123   -0.9201    -3.1701       2.25        1.5    1.78927
 124  -0.919859   -3.16986       2.25        1.5    1.77613
 125  -0.919635   -3.16964       2.25        1.5    1.76296
 126  -0.919445   -3.16945       2.25        1.5    1.74981
 127  -0.919304    -3.1693       2.25        1.5    1.73633
 128  -0.919223   -3.16922       2.25        1.5     1.7229
 129  -0.919213   -3.16921       2.25        1.5    1.70943
 130  -0.919282   -3.16928       2.25        1.5    1.69572
 131  -0.919432   -3.16943       2.25        1.5     1.6819
 132  -0.919665   -3.16967       2.25        1.5    1.66802
 133  -0.91998   -3.16998       2.25        1.5    1.65386
 134  -0.920372   -3.17037       2.25        1.5    1.63965
 135  -0.920835   -3.17083       2.25        1.5    1.62541
 136  -0.921361   -3.17136       2.25        1.5      1.611
 137  -0.921941   -3.17194       2.25        1.5    1.59631
 138  -0.922563   -3.17256       2.25        1.5    1.58173
 139  -0.923216   -3.17322       2.25        1.5    1.56719
 140  -0.923887   -3.17389       2.25        1.5    1.55249
 141  -0.924564   -3.17456       2.25        1.5      1.538
 142  -0.925231   -3.17523       2.25        1.5    1.52347
 143  -0.925875   -3.17588       2.25        1.5    1.50894
 144  -0.926483   -3.17648       2.25        1.5    1.49473
 145  -0.927043   -3.17704       2.25        1.5    1.48064
 146  -0.927541   -3.17754       2.25        1.5    1.46642
 147  -0.927968   -3.17797       2.25        1.5    1.45263
 148  -0.928313   -3.17831       2.25        1.5    1.43898
 149  -0.928564   -3.17856       2.25        1.5    1.42549
 150  -0.928713   -3.17871       2.25        1.5    1.41217
 151  -0.928754   -3.17875       2.25        1.5    1.39897
 152  -0.928679   -3.17868       2.25        1.5    1.38616
 153  -0.928486   -3.17849       2.25        1.5    1.37352
 154  -0.92817   -3.17817       2.25        1.5    1.36099
 155  -0.927729   -3.17773       2.25        1.5    1.34882
 156  -0.927162   -3.17716       2.25        1.5    1.33696
 157  -0.92647   -3.17647       2.25        1.5    1.32539
 158  -0.925656   -3.17566       2.25        1.5    1.31411
 159  -0.924723   -3.17472       2.25        1.5    1.30308
 160  -0.923676   -3.17368       2.25        1.5    1.29233
 161  -0.922519   -3.17252       2.25        1.5     1.2817
 162  -0.921261   -3.17126       2.25        1.5    1.27124
 163  -0.919911   -3.16991       2.25        1.5    1.26105
 164  -0.918476   -3.16848       2.25        1.5    1.25109
 165  -0.916969   -3.16697       2.25        1.5    1.24125
 166  -0.915402    -3.1654       2.25        1.5    1.23178
 167  -0.913785   -3.16379       2.25        1.5    1.22224
 168  -0.912132   -3.16213       2.25        1.5    1.21265
 169  -0.910454   -3.16045       2.25        1.5    1.20324
 170  -0.908763   -3.15876       2.25        1.5    1.19386
 171  -0.907072   -3.15707       2.25        1.5    1.18454
 172  -0.90539   -3.15539       2.25        1.5    1.17508
 173  -0.90373   -3.15373       2.25        1.5    1.16574
 174  -0.902101    -3.1521       2.25        1.5    1.15633
 175  -0.900512   -3.15051       2.25        1.5    1.14707
 176  -0.89897   -3.14897       2.25        1.5    1.13765
 177  -0.897479   -3.14748       2.25        1.5    1.12797
 178  -0.896046   -3.14605       2.25        1.5    1.11841
 179  -0.894673   -3.14467       2.25        1.5     1.1087
 180  -0.893363   -3.14336       2.25        1.5    1.09909
 181  -0.892117   -3.14212       2.25        1.5    1.08917
 182  -0.890936   -3.14094       2.25        1.5     1.0794
 183  -0.88982   -3.13982       2.25        1.5     1.0693
 184  -0.888771   -3.13877       2.25        1.5    1.05943
 185  -0.887786   -3.13779       2.25        1.5    1.04943
 186  -0.886866   -3.13687       2.25        1.5    1.03923
 187  -0.88601   -3.13601       2.25        1.5    1.02902
 188  -0.885216   -3.13522       2.25        1.5    1.01873
 189  -0.884485   -3.13448       2.25        1.5     1.0084
 190  -0.883817   -3.13382       2.25        1.5   0.998029
 191  -0.883214   -3.13321       2.25        1.5   0.987494
 192  -0.882678   -3.13268       2.25        1.5   0.976952
 193  -0.88221   -3.13221       2.25        1.5   0.966013
 194  -0.881811   -3.13181       2.25        1.5   0.954947
 195  -0.881484   -3.13148       2.25        1.5   0.943867
 196  -0.881231   -3.13123       2.25        1.5   0.932654
 197  -0.881052   -3.13105       2.25        1.5    0.92154
 198  -0.880951   -3.13095       2.25        1.5   0.910214
 199  -0.880926   -3.13093       2.25        1.5     0.8986
 200  -0.880977   -3.13098       2.25        1.5   0.887282
 201  -0.881104    -3.1311       2.25        1.5   0.875877
 202   -0.8813    -3.1313       2.25        1.5   0.864124
 203  -0.881562   -3.13156       2.25        1.5    0.85242
 204  -0.881883   -3.13188       2.25        1.5     0.8407
 205  -0.882256   -3.13226       2.25        1.5   0.829056
 206  -0.882671   -3.13267       2.25        1.5   0.817157
 207  -0.883119   -3.13312       2.25        1.5   0.805449
 208  -0.883589   -3.13359       2.25        1.5   0.793603
 209  -0.884071   -3.13407       2.25        1.5    0.78195
 210  -0.884554   -3.13455       2.25        1.5   0.770162
 211  -0.885026   -3.13503       2.25        1.5   0.758496
 212  -0.885474   -3.13547       2.25        1.5   0.746819
 213  -0.885886   -3.13589       2.25        1.5   0.735309
 214  -0.88625   -3.13625       2.25        1.5   0.723911
 215  -0.886557   -3.13656       2.25        1.5   0.712837
 216  -0.886794   -3.13679       2.25        1.5    0.70207
 217  -0.886953   -3.13695       2.25        1.5   0.691513
 218  -0.887025   -3.13703       2.25        1.5   0.681335
 219  -0.887002     -3.137       2.25        1.5   0.671245
 220  -0.886875   -3.13687       2.25        1.5   0.661335
 221  -0.886637   -3.13664       2.25        1.5   0.651734
 222  -0.886283   -3.13628       2.25        1.5   0.642182
 223  -0.885807   -3.13581       2.25        1.5   0.632961
