#  i    Total    Potential    Kinetic    Temperature   Pressure
 330  -0.630153   -2.81747    2.18732    1.45821   0.218216
 331  -0.641589   -2.81445    2.17286    1.44857   0.215972
 332  -0.653245   -2.81156    2.15831    1.43888   0.213493
 333  -0.644858    -2.8088    2.16394    1.44263   0.215946
 334  -0.630191   -2.80616    2.17597    1.45065   0.220323
 335  -0.631699   -2.80363    2.17193    1.44795    0.21991
 336  -0.634649   -2.80121    2.16656    1.44437   0.219145
 337  -0.604671    -2.7989    2.19423    1.46282   0.226891
 338  -0.632839   -2.79667    2.16383    1.44256    0.21922
 339  -0.624111   -2.79455    2.17044    1.44696   0.220987
 340  -0.610052   -2.79252    2.18246    1.45498   0.224008
 341  -0.634466   -2.79055    2.15609    1.43739   0.216768
 342  -0.636724   -2.78867    2.15195    1.43463   0.215334
 343  -0.639975   -2.78687    2.14689    1.43126   0.213455
 344  -0.632722   -2.78513    2.15241    1.43494   0.214396
 345  -0.61345   -2.78345       2.17    1.44667   0.218646
 346  -0.623982   -2.78182    2.15784    1.43856   0.214517
 347  -0.646835   -2.78024    2.13341    1.42227    0.20692
 348  -0.619411   -2.77872    2.15931    1.43954   0.212823
 349  -0.63016   -2.77724    2.14708    1.43139   0.208515
 350  -0.609045    -2.7758    2.16675     1.4445   0.212847
 351  -0.605237   -2.77439    2.16915     1.4461   0.212198
 352  -0.57033   -2.77301    2.20268    1.46845   0.219995
 353  -0.55714   -2.77164     2.2145    1.47633   0.221843
 354  -0.557046   -2.77029    2.21324     1.4755   0.220137
 355  -0.574999   -2.76896    2.19396    1.46264   0.213683
 356  -0.57964   -2.76765    2.18801    1.45867   0.210888
 357  -0.571639   -2.76636    2.19472    1.46315   0.211411
 358  -0.570676   -2.76509    2.19441    1.46294   0.210003
 359  -0.58032   -2.76383    2.18351    1.45568   0.205833
 360  -0.575035    -2.7626    2.18756    1.45838   0.205639
 361  -0.570586   -2.76138    2.19079    1.46053    0.20525
 362  -0.587474   -2.76018     2.1727    1.44847   0.198933
 363  -0.622846   -2.75899    2.13615     1.4241   0.187729
 364  -0.601506   -2.75784    2.15633    1.43755    0.19173
 365  -0.571098   -2.75669    2.18559    1.45706   0.198055
 366  -0.552319   -2.75555    2.20323    1.46882   0.201193
 367  -0.557576   -2.75441    2.19683    1.46456   0.198046
 368  -0.518836   -2.75327    2.23444    1.48962   0.206814
 369  -0.487892   -2.75212    2.26423    1.50948   0.213523
 370  -0.496061   -2.75094    2.25488    1.50326   0.209689
 371  -0.489251   -2.74975     2.2605      1.507   0.210072
 372  -0.523753   -2.74853    2.22478    1.48318   0.199354
 373  -0.52499   -2.74729     2.2223    1.48153   0.197439
 374  -0.539462   -2.74602    2.20656    1.47104   0.192073
