Name,Degree,Closeness,Betweenness
AEGON,0.0136986301369863,0.39916066196848526,0.0
AERYS,0.0273972602739726,0.41599273807559,0.0
ALANNA,0.0136986301369863,0.2807105468314957,0.0
ALTON,0.0136986301369863,0.3794219479150986,0.0
ALYS,0.3013698630136986,0.5480539247662536,0.00022343832991019049
ARYA,0.5342465753424657,0.6393962455606291,0.09902087596468986
BERIC,0.3835616438356164,0.5754566210045662,0.010835578093726818
BRAN,0.4383561643835616,0.6165606653620352,0.01566674884374333
BRIENNE,0.4657534246575342,0.6277708592777086,0.04046177950249275
BRONN,0.1780821917808219,0.49679708288163993,0.08240130694038411
CATELYN,0.0136986301369863,0.38363774733637745,0.0
CERSEI,0.2465753424657534,0.5394905821917808,0.018701339034959675
CERSEIS_BABY,0.0410958904109589,0.41350176359609553,0.0
CRAYAH,0.0684931506849315,0.3523203802068773,0.027606868216591553
DAENERYS,0.5616438356164384,0.670434898257747,0.13390159981644
DAVOS,0.5068493150684932,0.6453719114069901,0.03184838373830822
DICKON,0.0410958904109589,0.43159246575342464,0.0
DIRAH,0.0410958904109589,0.3352174491288735,0.0
DORNISH_PRINCE,0.2328767123287671,0.5077558420628526,0.0
EDDISON_TOLLETT,0.2465753424657534,0.5271358360347171,0.0037797821292701616
EDMURE,0.2328767123287671,0.5077558420628526,0.0
EURON,0.1643835616438356,0.4829006609828528,0.002876622458555774
GENDRY,0.410958904109589,0.5802923909289743,0.008255146159397347
GILLY,0.1780821917808219,0.4829006609828528,0.0014421517905486851
GREY_WORM,0.5205479452054794,0.6277708592777086,0.03426335306856907
HARRY,0.0684931506849315,0.43159246575342464,0.00013356548744676596
HOUND,0.3287671232876712,0.5614210936629914,0.038503334938426524
IRONBORN_LORD,0.2328767123287671,0.5077558420628526,0.0
JAIME,0.4383561643835616,0.6165606653620352,0.05232328599664347
JOFFREY,0.0410958904109589,0.4262641637070861,0.0003213508533504531
JON,0.4931506849315068,0.6165606653620352,0.05699511910149381
JORAH,0.3424657534246575,0.5614210936629914,0.002419697413796966
LITTLE_SAM,0.0958904109589041,0.4484077566269347,0.0
LITTLEFINGER,0.0136986301369863,0.0136986301369863,0.0
LYANNA,0.0958904109589041,0.4543078586878154,0.001234784440648463
LYANNA_MORMONT,0.3013698630136986,0.5480539247662536,0.0003842334855012096
MAREI,0.0410958904109589,0.3352174491288735,0.0
MARTHA,0.0136986301369863,0.36927697604571097,0.0
MARWYN,0.0136986301369863,0.40148136349155783,0.0
MELISANDRE,0.1095890410958904,0.4398394555448914,2.5367833587011666e-05
MISSANDEI,0.3424657534246575,0.5707007811615533,0.008996782646211123
MOUNTAIN,0.136986301369863,0.49324853228962817,0.0010894083073206726
NED,0.0821917808219178,0.4262641637070861,0.0007884550550075663
NED_UMBER,0.0684931506849315,0.44551480335837385,0.0
NIGHT_KING,0.0821917808219178,0.45731652000362877,0.0
NORA,0.0410958904109589,0.4038292077225026,0.0
OWEN,0.0273972602739726,0.39235678704856786,0.02663622526636225
PODRICK,0.2876712328767123,0.5437385395318736,0.0026772451957007295
QHONO,0.3150684931506849,0.5524383561643835,0.001896537461405971
QYBURN,0.136986301369863,0.4863013698630137,0.022677705415505626
RAMSAY,0.0136986301369863,0.0136986301369863,0.0
RANDYLL,0.0410958904109589,0.43159246575342464,0.0
RHAEGAR,0.0684931506849315,0.43430688377703114,0.0002472075942756872
RIVERLANDS_LORD,0.2328767123287671,0.5077558420628526,0.0
ROBERT,0.0958904109589041,0.4543078586878154,0.001348804563007894
ROBIN,0.2328767123287671,0.5077558420628526,0.0
SAM,0.5753424657534246,0.6770077894171367,0.09913291196077363
SANSA,0.547945205479452,0.6393962455606291,0.05999541827707134
SARRA,0.0547945205479452,0.41350176359609553,0.0
TEELA,0.0958904109589041,0.4426589392342817,0.0
THEON,0.3287671232876712,0.5568935041979673,0.003508433039389257
TORMUND,0.3972602739726027,0.5802923909289743,0.022037445100388343
TYRION,0.5616438356164384,0.670434898257747,0.06311681962029123
TYWIN,0.0547945205479452,0.43705566152245534,0.0
UNSULLIED_CAPTAIN,0.0273972602739726,0.4038292077225026,0.0
VALE_LORD,0.2328767123287671,0.5077558420628526,0.0
VARYS,0.4246575342465753,0.5902119189790422,0.04764748028683221
VICKY,0.0410958904109589,0.4038292077225026,0.0
VISERYS,0.0136986301369863,0.39916066196848526,0.0
WILLA,0.0547945205479452,0.41350176359609553,0.0
WILLIAM,0.0136986301369863,0.2596044906787517,0.0
MAESTER_WOLKAN,0.3424657534246575,0.5614210936629914,0.0030283283360511876
YARA,0.273972602739726,0.531190727081138,0.002361178110997098
YOHN_ROYCE,0.3972602739726027,0.5802923909289743,0.0041955104750019895
