Name,Degree,Closeness,Betweenness
AEGON,0.0125,0.37209302325581395,0.0
AERYS,0.1,0.47619047619047616,0.0019287925528958523
ALYS,0.025,0.4020100502512563,0.0
ARYA,0.225,0.5128205128205128,0.03888085859226906
BALERION,0.025,0.3686635944700461,0.0
BENJEN,0.0125,0.4,0.0
BERIC,0.125,0.45977011494252873,0.0011901500249512276
BRAN,0.21250000000000002,0.5161290322580645,0.06815847971192848
BRIENNE,0.30000000000000004,0.547945205479452,0.027659172125690582
BRONN,0.2,0.5031446540880503,0.005244722089268664
CATELYN,0.05,0.4166666666666667,0.0001230661040787623
CERSEI,0.3875,0.5755395683453237,0.11205674388253951
DAENERYS,0.42500000000000004,0.5882352941176471,0.1151517019513258
DAVOS,0.3375,0.5594405594405595,0.02500360792483971
DICKON,0.08750000000000001,0.43243243243243246,0.009716061271813318
EDDISON_TOLLETT,0.025,0.3448275862068966,0.0
DROGO,0.037500000000000006,0.43243243243243246,0.0
ELLARIA,0.21250000000000002,0.45454545454545453,0.01213099182206159
EURON,0.2,0.49382716049382713,0.015368710085752196
GENDRY,0.1375,0.4624277456647399,0.0022564222254422388
GILLY,0.025,0.3187250996015936,0.0
GREY_WORM,0.17500000000000002,0.4878048780487805,0.003329247351800596
HARRAG,0.025,0.34934497816593885,0.0
HIGH_SEPTON,0.0125,0.31746031746031744,0.0
HOT_PIE,0.037500000000000006,0.41450777202072536,0.0
HOUND,0.28750000000000003,0.5228758169934641,0.01866808585656822
HOWLAND,0.0125,0.27491408934707906,0.0
JAIME,0.275,0.5298013245033113,0.037114084296424016
JEOR,0.05,0.44692737430167595,0.0009187015516129441
JOANNA,0.0125,0.29850746268656714,0.0
JOFFREY,0.1375,0.47904191616766467,0.015258026933955605
JON,0.5375,0.6611570247933884,0.237362397781175
JON_ARRYN,0.025,0.3524229074889868,0.0
JORAH,0.275,0.5194805194805194,0.0495849896207265
LITTLE_SAM,0.025,0.3187250996015936,0.0
LITTLEFINGER,0.21250000000000002,0.5194805194805194,0.024830727302128805
LYANNA,0.05,0.418848167539267,0.0021107547831841736
LYANNA_MORMONT,0.125,0.4419889502762431,0.00014240506329113925
LYSA,0.025,0.3524229074889868,0.0
MARGAERY,0.0125,0.3187250996015936,0.0
MARWYN,0.0625,0.39408866995073893,0.025906616086170297
MEERA,0.0625,0.37735849056603776,0.02609008450501377
MELISANDRE,0.1,0.44692737430167595,0.000981272611923044
MISSANDEI,0.1625,0.4819277108433735,0.0030427044756728364
MOUNTAIN,0.2,0.49382716049382713,0.01582798334366356
MYRCELLA,0.037500000000000006,0.37037037037037035,0.0
NED,0.1875,0.5161290322580645,0.026368288119300073
NED_UMBER,0.025,0.4020100502512563,0.0
NIGHT_KING,0.125,0.4819277108433735,0.0016502231333937736
NYMERIA,0.07500000000000001,0.35714285714285715,0.0
OBARA,0.07500000000000001,0.35714285714285715,0.0
OBERYN,0.05,0.3791469194312796,0.0002030128062772966
OLENNA,0.2,0.46511627906976744,0.029254348152048026
PODRICK,0.225,0.5095541401273885,0.011260252977565582
QHONO,0.05,0.40404040404040403,0.0
QYBURN,0.1875,0.49079754601226994,0.010232112923683983
RAMSAY,0.0125,0.3508771929824561,0.0
RANDYLL,0.1125,0.43956043956043955,0.0006989652401044805
RHAEGAR,0.037500000000000006,0.35874439461883406,0.0003465943339361061
ROBB,0.08750000000000001,0.47337278106508873,0.0007492952327656228
ROBERT,0.15000000000000002,0.48484848484848486,0.03326920656369111
ROBETT,0.125,0.4419889502762431,0.00014240506329113925
SAM,0.1375,0.4624277456647399,0.10441836533706125
SANSA,0.30000000000000004,0.5369127516778524,0.09108866886217314
SHIREEN,0.0125,0.28368794326241137,0.0
STANNIS,0.0125,0.31746031746031744,0.0
THEON,0.30000000000000004,0.5298013245033113,0.04835906640452009
THOROS,0.08750000000000001,0.42105263157894735,0.00029167825845041035
TOMMEN,0.025,0.365296803652968,0.0
TORMUND,0.21250000000000002,0.49079754601226994,0.009295348100968201
TYCHO,0.025,0.37037037037037035,0.0
TYENE,0.125,0.40404040404040403,0.002331378916128704
TYRION,0.42500000000000004,0.6015037593984962,0.08310372822923297
TYWIN,0.08750000000000001,0.42328042328042326,0.027517430387545967
VARYS,0.23750000000000002,0.5128205128205128,0.010082240645144201
VISERYS,0.0125,0.37209302325581395,0.0
WALDER,0.0125,0.3404255319148936,0.0
WHITE_WALKER,0.05,0.41237113402061853,0.0
MAESTER_WOLKAN,0.08750000000000001,0.4444444444444444,0.0073107650092984686
YARA,0.17500000000000002,0.4444444444444444,0.011895479392427443
YOHN_ROYCE,0.15000000000000002,0.45714285714285713,0.0010556092992801854
