#   r      g(r)
2.392695 0.928243
2.400184 0.922222
2.407672 0.915766
2.415161 0.925205
2.422650 0.926506
2.430139 0.921800
2.437628 0.904933
2.445117 0.906475
2.452606 0.889847
2.460095 0.890536
2.467583 0.890633
2.475072 0.898614
2.482561 0.893064
2.490050 0.887364
2.497539 0.879084
2.505028 0.885691
2.512517 0.884929
2.520006 0.881110
2.527494 0.883618
2.534983 0.887172
2.542472 0.880150
2.549961 0.874068
2.557450 0.878586
2.564939 0.881922
2.572428 0.887041
2.579917 0.886878
2.587405 0.885650
2.594894 0.885749
2.602383 0.893699
2.609872 0.893675
2.617361 0.898285
2.624850 0.907668
2.632339 0.899121
2.639828 0.905713
2.647316 0.896376
2.654805 0.901043
2.662294 0.912310
2.669783 0.926473
2.677272 0.927969
2.684761 0.930506
2.692250 0.929104
2.699738 0.932019
2.707227 0.929233
2.714716 0.935224
2.722205 0.945163
2.729694 0.961290
2.737183 0.969630
2.744672 0.967328
2.752161 0.979881
2.759649 0.980635
2.767138 0.977204
2.774627 0.984541
2.782116 0.998199
2.789605 0.999023
2.797094 1.011715
2.804583 1.016628
2.812072 1.011344
2.819560 1.025989
2.827049 1.022609
2.834538 1.032063
2.842027 1.040950
2.849516 1.041694
2.857005 1.048933
2.864494 1.039728
2.871983 1.052436
2.879471 1.057658
2.886960 1.052624
2.894449 1.058919
2.901938 1.048958
2.909427 1.043192
2.916916 1.050332
2.924405 1.052194
2.931894 1.053754
2.939382 1.068286
2.946871 1.070747
2.954360 1.066842
2.961849 1.061042
2.969338 1.046787
2.976827 1.057169
2.984316 1.060040
2.991805 1.062616
2.999293 1.074621
3.006782 1.074057
3.014271 1.069577
3.021760 1.067547
3.029249 1.058831
3.036738 1.063352
3.044227 1.064493
3.051715 1.061540
3.059204 1.053870
3.066693 1.055308
3.074182 1.051956
3.081671 1.048959
3.089160 1.048929
3.096649 1.055728
3.104138 1.053830
3.111626 1.049071
3.119115 1.047468
3.126604 1.042922
3.134093 1.041951
3.141582 1.035251
3.149071 1.036338
3.156560 1.035009
3.164049 1.034916
3.171537 1.038938
3.179026 1.042331
3.186515 1.038510
3.194004 1.035271
3.201493 1.030963
3.208982 1.035135
3.216471 1.025869
3.223960 1.021547
3.231448 1.025710
3.238937 1.016547
3.246426 1.014451
3.253915 1.012068
3.261404 1.006079
3.268893 0.999935
3.276382 0.990757
3.283871 0.985745
3.291359 0.988494
3.298848 0.987304
3.306337 0.983789
3.313826 0.981342
3.321315 0.982944
3.328804 0.980373
3.336293 0.979975
3.343782 0.971478
3.351270 0.970082
3.358759 0.970484
3.366248 0.975091
3.373737 0.970028
3.381226 0.962643
3.388715 0.970343
3.396204 0.965037
3.403692 0.968776
3.411181 0.976199
3.418670 0.974081
3.426159 0.975975
3.433648 0.972950
3.441137 0.965393
3.448626 0.961868
3.456115 0.965007
3.463603 0.965704
3.471092 0.959474
3.478581 0.951889
3.486070 0.958980
3.493559 0.956776
3.501048 0.959699
3.508537 0.958344
3.516026 0.952383
3.523514 0.952290
3.531003 0.953165
3.538492 0.953251
3.545981 0.955898
3.553470 0.958340
3.560959 0.959219
3.568448 0.964005
3.575937 0.969849
3.583425 0.968006
3.590914 0.971380
3.598403 0.969994
3.605892 0.974923
3.613381 0.974640
3.620870 0.977354
3.628359 0.972912
3.635848 0.975650
3.643336 0.973963
3.650825 0.974790
3.658314 0.984184
3.665803 0.986047
3.673292 0.993001
3.680781 0.989916
3.688270 0.990960
3.695759 0.998771
3.703247 0.995977
3.710736 0.995149
3.718225 1.001775
3.725714 1.007556
3.733203 1.006741
