#  i    Total    Potential    Kinetic    Temperature   Pressure
 515  -3.17555   -4.62788    1.45232   0.968216    2.16273
 516  -3.19214   -4.62621    1.43408    0.95605    2.15836
 517  -3.18058   -4.62469    1.44411   0.962741    2.16863
 518  -3.17429   -4.62331    1.44902   0.966012    2.17543
 519  -3.17981   -4.62207    1.44226   0.961509    2.17525
 520  -3.19197   -4.62099    1.42902   0.952677    2.17119
 521   -3.1947   -4.62008    1.42538    0.95025    2.17154
 522  -3.19414   -4.61936    1.42521   0.950143      2.173
 523   -3.1833   -4.61883    1.43553   0.957019    2.17901
 524  -3.18069   -4.61851    1.43782   0.958545    2.17968
 525  -3.19888    -4.6184    1.41952   0.946347    2.16913
 526  -3.19933   -4.61852    1.41919   0.946128    2.16663
 527  -3.17335    -4.6189    1.44555   0.963697    2.17792
 528   -3.1736   -4.61953    1.44593   0.963952     2.1741
 529  -3.16157   -4.62042    1.45885   0.972567    2.17621
 530  -3.15423   -4.62157    1.46734   0.978228    2.17444
 531  -3.14087     -4.623    1.48212   0.988083    2.17522
 532  -3.16515    -4.6247    1.45954   0.973029    2.15542
 533  -3.15753   -4.62665    1.46912   0.979413    2.15195
 534  -3.18719   -4.62889     1.4417   0.961131    2.12714
 535  -3.17573   -4.63138    1.45565   0.970431    2.12383
 536   -3.1603   -4.63416    1.47386   0.982575     2.1213
 537  -3.16354   -4.63722    1.47368   0.982455    2.10782
 538  -3.17065   -4.64053    1.46988   0.979918    2.09196
 539  -3.18455   -4.64406    1.45951   0.973007    2.07106
 540  -3.19979    -4.6478    1.44801   0.965337    2.04924
 541  -3.20716   -4.65172    1.44457   0.963044    2.03117
 542  -3.19696   -4.65584    1.45887   0.972582    2.02195
 543  -3.20743   -4.66013     1.4527   0.968468    2.00048
 544  -3.20536   -4.66456     1.4592   0.972797    1.98574
 545  -3.21688    -4.6691    1.45223    0.96815     1.9632
 546  -3.22503   -4.67373     1.4487   0.965797    1.94205
 547  -3.25184   -4.67841    1.42657   0.951049    1.91153
 548   -3.2642   -4.68311    1.41891    0.94594    1.88806
 549   -3.2808   -4.68782    1.40702   0.938012    1.86203
 550  -3.27275   -4.69253    1.41978   0.946521    1.84939
 551  -3.26571   -4.69725    1.43153   0.954356    1.83622
 552  -3.26284   -4.70194     1.4391     0.9594    1.82127
 553  -3.26772   -4.70659    1.43886   0.959243    1.80202
