#   r      g(r)
2.090211 1.015705
2.096754 1.003825
2.103296 0.978772
2.109838 0.954800
2.116380 0.933216
2.122922 0.896153
2.129464 0.869647
2.136006 0.857441
2.142548 0.835966
2.149091 0.814283
2.155633 0.799225
2.162175 0.785703
2.168717 0.775075
2.175259 0.762614
2.181801 0.749945
2.188343 0.734049
2.194885 0.722831
2.201428 0.701375
2.207970 0.700122
2.214512 0.693181
2.221054 0.685376
2.227596 0.682050
2.234138 0.683293
2.240680 0.670332
2.247223 0.666399
2.253765 0.657759
2.260307 0.661656
2.266849 0.656660
2.273391 0.661112
2.279933 0.667374
2.286475 0.672631
2.293017 0.673861
2.299560 0.678364
2.306102 0.673462
2.312644 0.672418
2.319186 0.679530
2.325728 0.686938
2.332270 0.706272
2.338812 0.706608
2.345355 0.721892
2.351897 0.718907
2.358439 0.727544
2.364981 0.750236
2.371523 0.760519
2.378065 0.767917
2.384607 0.768047
2.391149 0.783572
2.397692 0.797591
2.404234 0.810193
2.410776 0.817395
2.417318 0.831142
2.423860 0.845057
2.430402 0.858511
2.436944 0.879218
2.443487 0.901312
2.450029 0.910277
2.456571 0.927348
2.463113 0.945930
2.469655 0.948268
2.476197 0.963049
2.482739 0.984716
2.489281 0.993751
2.495824 1.018227
2.502366 1.030832
2.508908 1.045538
2.515450 1.066930
2.521992 1.073403
2.528534 1.081305
2.535076 1.097110
2.541619 1.111819
2.548161 1.127503
2.554703 1.134754
2.561245 1.150077
2.567787 1.162706
2.574329 1.176691
2.580871 1.181441
2.587413 1.195014
2.593956 1.210256
2.600498 1.204903
2.607040 1.201314
2.613582 1.219972
2.620124 1.225715
2.626666 1.236892
2.633208 1.241036
2.639751 1.241201
2.646293 1.245202
2.652835 1.249194
2.659377 1.243576
2.665919 1.250578
2.672461 1.243164
2.679003 1.234339
2.685545 1.232486
2.692088 1.225642
2.698630 1.217453
2.705172 1.213768
2.711714 1.206441
2.718256 1.203579
2.724798 1.194211
2.731340 1.191752
2.737883 1.184021
2.744425 1.182477
2.750967 1.167925
2.757509 1.154560
2.764051 1.146394
2.770593 1.146103
2.777135 1.135354
2.783677 1.126867
2.790220 1.116994
2.796762 1.106391
2.803304 1.103243
2.809846 1.101075
2.816388 1.093495
2.822930 1.075430
