#  i    Total    Potential    Kinetic    Temperature   Pressure
 132   1.16657   -0.333426        1.5          1    50.9518
 133   1.12187   -0.378132        1.5          1    50.7085
 134   1.07818   -0.421815        1.5          1    50.4694
 135   1.03553   -0.464467        1.5          1    50.2371
 136  0.993913   -0.506087        1.5          1    50.0089
 137  0.953325   -0.546675        1.5          1    49.7872
 138  0.913758   -0.586242        1.5          1    49.5714
 139  0.875201   -0.624799        1.5          1    49.3611
 140  0.837636   -0.662364        1.5          1    49.1562
 141  0.801042   -0.698958        1.5          1    48.9567
 142  0.765395   -0.734605        1.5          1    48.7618
 143  0.730669   -0.769331        1.5          1    48.5721
 144  0.696833   -0.803167        1.5          1    48.3869
 145  0.663855   -0.836145        1.5          1    48.2069
 146  0.631706   -0.868294        1.5          1    48.0313
 147  0.600352   -0.899648        1.5          1      47.86
 148   0.56976   -0.93024        1.5          1     47.692
 149  0.539901   -0.960099        1.5          1    47.5292
 150  0.510747   -0.989253        1.5          1    47.3703
 151  0.482273   -1.01773        1.5          1    47.2137
 152  0.454458   -1.04554        1.5          1    47.0609
 153   0.42728   -1.07272        1.5          1    46.9116
 154  0.400725   -1.09928        1.5          1    46.7668
 155  0.374777   -1.12522        1.5          1    46.6242
 156  0.349428   -1.15057        1.5          1    46.4842
 157  0.324675   -1.17532        1.5          1    46.3484
 158  0.300514   -1.19949        1.5          1    46.2153
 159  0.276946   -1.22305        1.5          1    46.0853
 160  0.253974   -1.24603        1.5          1    45.9585
 161  0.231602    -1.2684        1.5          1    45.8359
 162  0.209835   -1.29017        1.5          1    45.7158
 163  0.188678   -1.31132        1.5          1    45.5993
 164  0.168138   -1.33186        1.5          1    45.4859
 165  0.148215   -1.35178        1.5          1     45.376
 166  0.128911   -1.37109        1.5          1    45.2696
 167  0.110221   -1.38978        1.5          1    45.1657
 168  0.0921398   -1.40786        1.5          1    45.0653
 169  0.0746555   -1.42534        1.5          1    44.9683
 170  0.0577507   -1.44225        1.5          1    44.8746
