#   r      g(r)
2.090211 1.000684
2.096754 0.977270
2.103296 0.945914
2.109838 0.923465
2.116380 0.905844
2.122922 0.894524
2.129464 0.865060
2.136006 0.834030
2.142548 0.819368
2.149091 0.794524
2.155633 0.771645
2.162175 0.758733
2.168717 0.746022
2.175259 0.733272
2.181801 0.722080
2.188343 0.712073
2.194885 0.708018
2.201428 0.699594
2.207970 0.694237
2.214512 0.681391
2.221054 0.669903
2.227596 0.665897
2.234138 0.667166
2.240680 0.670673
2.247223 0.662603
2.253765 0.656425
2.260307 0.640560
2.266849 0.653880
2.273391 0.657791
2.279933 0.666554
2.286475 0.675337
2.293017 0.681104
2.299560 0.676980
2.306102 0.688889
2.312644 0.693589
2.319186 0.686887
2.325728 0.695083
2.332270 0.702951
2.338812 0.715604
2.345355 0.732700
2.351897 0.739344
2.358439 0.750834
2.364981 0.755132
2.371523 0.767377
2.378065 0.782008
2.384607 0.781824
2.391149 0.794699
2.397692 0.808629
2.404234 0.810405
2.410776 0.826073
2.417318 0.833886
2.423860 0.843328
2.430402 0.866086
2.436944 0.876640
2.443487 0.891139
2.450029 0.906533
2.456571 0.908045
2.463113 0.924358
2.469655 0.936040
2.476197 0.952907
2.482739 0.959603
2.489281 0.977173
2.495824 0.986074
2.502366 1.000698
2.508908 1.012825
2.515450 1.025280
2.521992 1.041901
2.528534 1.059114
2.535076 1.072553
2.541619 1.076959
2.548161 1.095461
2.554703 1.103989
2.561245 1.119447
2.567787 1.133300
2.574329 1.143149
2.580871 1.140218
2.587413 1.162555
2.593956 1.179548
2.600498 1.184970
2.607040 1.197250
2.613582 1.201107
2.620124 1.218773
2.626666 1.218833
2.633208 1.223116
2.639751 1.230885
2.646293 1.243722
2.652835 1.245535
2.659377 1.245783
2.665919 1.242111
2.672461 1.241519
2.679003 1.251573
2.685545 1.257587
2.692088 1.246515
2.698630 1.247689
2.705172 1.241508
2.711714 1.243818
2.718256 1.244068
2.724798 1.236380
2.731340 1.231608
2.737883 1.236460
2.744425 1.226402
2.750967 1.218223
2.757509 1.205962
2.764051 1.198482
2.770593 1.197993
2.777135 1.181657
2.783677 1.167876
2.790220 1.157866
2.796762 1.162520
2.803304 1.158680
2.809846 1.151807
2.816388 1.136294
2.822930 1.119713
2.829472 1.107826
2.836014 1.091352
2.842557 1.086965
2.849099 1.074493
2.855641 1.067760
2.862183 1.066269
2.868725 1.054087
2.875267 1.037492
2.881809 1.021137
2.888352 1.015774
2.894894 1.002783
2.901436 1.001198
2.907978 0.993327
2.914520 0.997717
2.921062 0.978745
2.927604 0.977631
2.934146 0.967275
2.940689 0.962883
2.947231 0.953409
2.953773 0.945353
2.960315 0.940080
2.966857 0.923134
2.973399 0.923607
2.979941 0.924804
2.986484 0.918801
2.993026 0.915871
2.999568 0.909190
3.006110 0.897641
3.012652 0.891242
3.019194 0.883916
3.025736 0.878955
3.032278 0.878186
3.038821 0.875389
3.045363 0.877173
3.051905 0.872999
3.058447 0.871009
3.064989 0.862214
3.071531 0.857432
3.078073 0.856325
3.084616 0.848843
3.091158 0.844766
3.097700 0.843671
3.104242 0.841885
3.110784 0.838839
3.117326 0.839323
3.123868 0.839187
3.130410 0.843509
3.136953 0.844895
3.143495 0.837717
3.150037 0.839663
3.156579 0.840723
3.163121 0.835079
3.169663 0.844187
3.176205 0.842408
3.182748 0.848562
3.189290 0.847422
3.195832 0.850139
3.202374 0.856043
3.208916 0.853549
3.215458 0.856255
3.222000 0.862336
3.228542 0.865477
3.235085 0.871666
3.241627 0.877702
3.248169 0.885489
3.254711 0.895848
3.261253 0.901799
